Company Name,CEO Name,CEO Pay,Median Employee Pay,CEO Pay Ratio,GICS Sector,GICS Sub-Industry
Jack Henry & Associates,na,-1,-1,-1,Information Technology,Data Processing & Outsourced Services
Jacobs Engineering Group,Steven J. Demetriou,14627254,79733,183,Industrials,Construction & Engineering
J. B. Hunt Transport Services,na,-1,-1,-1,Industrials,Trucking
JM Smucker,na,-1,-1,-1,Consumer Staples,Packaged Foods & Meats
Johnson & Johnson,Alex Gorsky,25380258,76000,334,Health Care,Pharmaceuticals
Johnson Controls International,George R. Oliver,15476638,41987,369,Industrials,Building Products
JPMorgan Chase & Co.,James Dimon,30040153,78923,381,Financials,Diversified Banks
Juniper Networks,Rami Rahim,11129890,129616,86,Information Technology,Communications Equipment
Kansas City Southern,Patrick J. Ottensmeyer,5523327,48187,115,Industrials,Railroads
Kellogg Co.,Steve Cahillane,9694223,38895,249,Consumer Staples,Packaged Foods & Meats
KeyCorp,Beth E. Mooney,9663988,63748,152,Financials,Regional Banks
Keysight Technologies,Ronald S. Nersesian,11124216,84714,131,Information Technology,Electronic Equipment & Instruments
Kimberly-Clark,Michael D. Hsu,12028120,47328,254,Consumer Staples,Household Products
Kimco Realty,Conor C. Flynn,6948567,102500,68,Real Estate,Retail REITs
Kinder Morgan,Steven J. Kean,7270,111546,0,Energy,Oil & Gas Storage & Transportation
KLA Corporation,na,-1,-1,-1,Information Technology,Semiconductor Equipment
Kraft Heinz Co,Bernardo Hees,29047768,47612,610,Consumer Staples,Packaged Foods & Meats
Kroger Co.,W. Rodney McMullen,12037872,24912,483,Consumer Staples,Food Retail
L Brands Inc.,Leslie H. Wexner,3783221,13490,280,Consumer Discretionary,Apparel Retail
L3Harris Technologies,William M. Brown,15745630,58426,269,Industrials,Aerospace & Defense
Laboratory Corp. of America Holding,na,-1,-1,-1,Health Care,Health Care Services
Lam Research,Timothy M. Archer,11753004,104541,112,Information Technology,Semiconductor Equipment
Lamb Weston Holdings Inc,Thomas P. Werner,6837282,55629,123,Consumer Staples,Packaged Foods & Meats
Las Vegas Sands,Sheldon G. Adelson,24680118,42228,584,Consumer Discretionary,Casinos & Gaming
Leggett & Platt,Karl G. Glassman,10204342,36441,280,Consumer Discretionary,Home Furnishings
Leidos Holdings,Roger A. Krone,10671271,103657,103,Information Technology,IT Consulting & Other Services
Lennar Corp.,Rick Beckwitt,18279581,102830,178,Consumer Discretionary,Homebuilding
Lilly (Eli) & Co.,David A. Ricks,21283242,96290,221,Health Care,Pharmaceuticals
Lincoln National,DENNIS R. GLASS,14422495,70828,204,Financials,Multi-line Insurance
Linde plc,Stephen F. Angel,66149326,40601,1629,Materials,Industrial Gases
Live Nation Entertainment,Michael Rapino,14563122,18333,794,Communication Services,Movies & Entertainment
LKQ Corporation,Dominick Zarcone,6429072,29945,215,Consumer Discretionary,Distributors
Lockheed Martin Corp.,Marillyn A. Hewson,30900000,154883,200,Industrials,Aerospace & Defense
Loews Corp.,James S. Tisch,9312872,72145,129,Financials,Multi-line Insurance
Lowe's Cos.,Marvin R. Ellison,11621369,22748,511,Consumer Discretionary,Home Improvement Retail
Lumen Technologies,na,-1,-1,-1,Communication Services,Alternative Carriers
LyondellBasell,na,-1,-1,-1,Materials,Specialty Chemicals
M&T Bank Corp.,na,-1,-1,-1,Financials,Regional Banks
Marathon Oil Corp.,Lee M. Tillman,12210874,116041,105,Energy,Oil & Gas Exploration & Production
Marathon Petroleum,Gary R. Heminger,24129164,210248,115,Energy,Oil & Gas Refining & Marketing
MarketAxess,na,-1,-1,-1,Financials,Financial Exchanges & Data
Marriott Int'l.,Arne M. Sorenson,13435887,38878,346,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Marsh & McLennan,na,-1,-1,-1,Financials,Insurance Brokers
Martin Marietta Materials,C. Howard Nye,8533458,71335,120,Materials,Construction Materials
Masco Corp.,Keith J. Allman,8659363,40070,216,Industrials,Building Products
Mastercard Inc.,Ajay Banga,23249977,138142,168,Information Technology,Data Processing & Outsourced Services
McCormick & Co.,Lawrence E. Kurzius,12769184,31603,404,Consumer Staples,Packaged Foods & Meats
Maxim Integrated Products Inc,Tunc Doluca,9143785,32372,282,Information Technology,Semiconductors
McDonald's Corp.,Christopher Kempczinski,18012549,9291,1939,Consumer Discretionary,Restaurants
McKesson Corp.,Brian S. Tyler,15435470,40601,380,Health Care,Health Care Distributors
Medtronic plc,Omar Ishrak,14822740,62286,238,Health Care,Health Care Equipment
Merck & Co.,Kenneth C. Frazier,27648475,95621,289,Health Care,Pharmaceuticals
MetLife Inc.,Steven A. Kandarian,17439109,73464,237,Financials,Life & Health Insurance
Mettler Toledo,na,-1,-1,-1,Health Care,Life Sciences Tools & Services
MGM Resorts International,James J. Murren,12849021,36192,355,Consumer Discretionary,Casinos & Gaming
Microchip Technology,Steve Sanghi,6883381,43782,157,Information Technology,Semiconductors
Micron Technology,Sanjay Mehrotra,16944751,60796,279,Information Technology,Semiconductors
Microsoft Corp.,Satya Nadella,42910215,172512,249,Information Technology,Systems Software
Mid-America Apartments,na,-1,-1,-1,Real Estate,Residential REITs
Mohawk Industries,Jeffrey S. Lorberbaum,4631485,41747,111,Consumer Discretionary,Home Furnishings
Molson Coors Beverage Company,na,-1,-1,-1,Consumer Staples,Brewers
Mondelez International,Dirk Van de Put,18115449,32280,561,Consumer Staples,Packaged Foods & Meats
Monster Beverage,Rodney C. Sacks,13914931,55370,251,Consumer Staples,Soft Drinks
Moody's Corp,Raymond W. McDaniel,13751632,87393,157,Financials,Financial Exchanges & Data
