Company Name,CEO Name,CEO Pay,Median Employee Pay,CEO Pay Ratio,GICS Sector,GICS Sub-Industry
Fastenal Co,Daniel L. Florness,1759943,45842,38,Industrials,Building Products
Federal Realty Investment Trust,Donald C. Wood,7630858,111105,69,Real Estate,Retail REITs
FedEx Corporation,Frederick W. Smith,15973884,52718,303,Industrials,Air Freight & Logistics
Fidelity National Information Services,na,-1,-1,-1,Information Technology,Data Processing & Outsourced Services
Fifth Third Bancorp,Greg D. Carmichael,8999237,68103,132,Financials,Regional Banks
FirstEnergy Corp,Charles E. Jones Jr.,14684659,149550,98,Utilities,Electric Utilities
First Republic Bank,na,-1,-1,-1,Financials,Regional Banks
Fiserv Inc,Jeffery W. Yabuki,27633556,65254,423,Information Technology,Data Processing & Outsourced Services
FleetCor Technologies Inc,Ronald F. Clarke,7757388,33330,233,Information Technology,Data Processing & Outsourced Services
FLIR Systems,James J. Cannon,5492416,76714,72,Information Technology,Electronic Equipment & Instruments
Flowserve Corporation,R. Scott Rowe,8702469,81830,106,Industrials,Industrial Machinery
FMC Corporation,Pierre Brondeau,11536552,51332,225,Materials,Fertilizers & Agricultural Chemicals
Ford Motor Company,James P. Hackett,17752835,64316,276,Consumer Discretionary,Automobile Manufacturers
Fortinet,Ken Xie,6761686,131767,51,Information Technology,Systems Software
Fortive Corp,James A. Lico,13720993,56718,242,Industrials,Industrial Machinery
Fortune Brands Home & Security,Christopher J. Klein,10693887,57125,187,Industrials,Building Products
Fox Corporation,na,-1,-1,-1,Communication Services,Movies & Entertainment
Franklin Resources,Gregory E. Johnson,10431335,63941,163,Financials,Asset Management & Custody Banks
Freeport-McMoRan Inc.,Richard C. Adkerson,15742249,75874,207,Materials,Copper
Gap Inc.,na,-1,-1,-1,Consumer Discretionary,Apparel Retail
Garmin Ltd.,Clifton A. Pemble,3233412,35188,92,Consumer Discretionary,Consumer Electronics
Gartner Inc,Eugene A. Hall,11502517,107147,107,Information Technology,IT Consulting & Other Services
