Company Name,CEO Name,CEO Pay,Median Employee Pay,CEO Pay Ratio,GICS Sector,GICS Sub-Industry,From Salary.com?
DexCom,Kevin Sayer,10279373,94523,109,Health Care,Health Care Equipment,yes
Diamondback Energy,Travis D. Stice,16049655,137832,116,Energy,Oil & Gas Exploration & Production,yes
Digital Realty Trust Inc,A. William Stein,12337700,157230,78,Real Estate,Specialized REITs,yes
Discover Financial Services,Roger C. Hochschild,9250436,47096,196,Financials,Consumer Finance,yes
"Discovery, Inc.",David M. Zaslav,45843912,79343,578,Communication Services,Broadcasting,yes
Dish Network,W. Erik Carlson,1007020,54685,18,Communication Services,Cable & Satellite,yes
Dollar General,Todd J. Vasos,12008059,14571,824,Consumer Discretionary,General Merchandise Stores,yes
Dollar Tree,Gary Philbin,10604621,15375,690,Consumer Discretionary,General Merchandise Stores,yes
Dominion Energy,Thomas F. Farrell II,17257035,145136,119,Utilities,Electric Utilities,yes
Domino's Pizza,Richard E. Allison Jr.,5495804,17919,307,Consumer Discretionary,Restaurants,yes
Dover Corporation,Richard J. Tobin,9149075,45141,203,Industrials,Industrial Machinery,yes
Dow Inc.,Jim Fitterling,15878639,109556,145,Materials,Commodity Chemicals,yes
DTE Energy Co.,Gerardo Norcia,8776433,119157,74,Utilities,Multi-Utilities,yes
Duke Energy,Lynn J. Good,15029386,123608,122,Utilities,Electric Utilities,yes
Duke Realty Corp,James B. Connor,6693904,122714,55,Real Estate,Industrial REITs,yes
DuPont de Nemours Inc,Edward D. Breen,18675301,75018,249,Materials,Specialty Chemicals,yes
DXC Technology,Michael J. Salvino,18973666,41602,456,Information Technology,IT Consulting & Other Services,yes
Eastman Chemical,Mark J. Costa,14556133,81638,178,Materials,Diversified Chemicals,yes
Eaton Corporation,C. Arnold,19980672,57712,346,Industrials,Electrical Components & Equipment,yes
eBay Inc.,Scott F. Schenkel,17647256,130636,135,Consumer Discretionary,Internet & Direct Marketing Retail,partial
Ecolab Inc.,Douglas M. Baker Jr.,19803193,54234,365,Materials,Specialty Chemicals,yes
Edison Int'l,Pedro J. Pizarro,11806662,190935,62,Utilities,Electric Utilities,yes
Edwards Lifesciences,Michael A. Mussallem,11520973,64517,179,Health Care,Health Care Equipment,yes
Electronic Arts,ANDREW WILSON,21365751,97986,218,Communication Services,Interactive Home Entertainment,yes
Emerson Electric Company,D. N. Farr,20310575,47415,428,Industrials,Electrical Components & Equipment,yes
Entergy Corp.,Leo P. Denault,14264249,129663,110,Utilities,Electric Utilities,yes
